The integer vectors in the final columns of each
permutation listing describe how a list 1, 2, ...
gets permuted. So "2 1" implies that element 2 is
mapped to position 1, and the first one ends up in 
second position.
Number of permutations:   32
Perm #:     1 Perm:    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
Perm #:     2 Perm:    4    1    2    3    8    5    6    7   12    9   10   11   16   13   14   15
Perm #:     3 Perm:    3    4    1    2    7    8    5    6   11   12    9   10   15   16   13   14
Perm #:     4 Perm:    2    3    4    1    6    7    8    5   10   11   12    9   14   15   16   13
Perm #:     5 Perm:    5    6    7    8    1    2    3    4   13   14   15   16    9   10   11   12
Perm #:     6 Perm:    8    5    6    7    4    1    2    3   16   13   14   15   12    9   10   11
Perm #:     7 Perm:    7    8    5    6    3    4    1    2   15   16   13   14   11   12    9   10
Perm #:     8 Perm:    6    7    8    5    2    3    4    1   14   15   16   13   10   11   12    9
Perm #:     9 Perm:    5    2    7    4    1    6    3    8    9   14   11   16   13   10   15   12
Perm #:    10 Perm:    8    1    6    3    4    5    2    7   12   13   10   15   16    9   14   11
Perm #:    11 Perm:    7    4    5    2    3    8    1    6   11   16    9   14   15   12   13   10
Perm #:    12 Perm:    6    3    8    1    2    7    4    5   10   15   12   13   14   11   16    9
Perm #:    13 Perm:    1    6    3    8    5    2    7    4   13   10   15   12    9   14   11   16
Perm #:    14 Perm:    4    5    2    7    8    1    6    3   16    9   14   11   12   13   10   15
Perm #:    15 Perm:    3    8    1    6    7    4    5    2   15   12   13   10   11   16    9   14
Perm #:    16 Perm:    2    7    4    5    6    3    8    1   14   11   16    9   10   15   12   13
Perm #:    17 Perm:   12   15   10   13   16   11   14    9    8    3    6    1    4    7    2    5
Perm #:    18 Perm:   11   14    9   16   15   10   13   12    7    2    5    4    3    6    1    8
Perm #:    19 Perm:   10   13   12   15   14    9   16   11    6    1    8    3    2    5    4    7
Perm #:    20 Perm:    9   16   11   14   13   12   15   10    5    4    7    2    1    8    3    6
Perm #:    21 Perm:   16   11   14    9   12   15   10   13    4    7    2    5    8    3    6    1
Perm #:    22 Perm:   15   10   13   12   11   14    9   16    3    6    1    8    7    2    5    4
Perm #:    23 Perm:   14    9   16   11   10   13   12   15    2    5    4    7    6    1    8    3
Perm #:    24 Perm:   13   12   15   10    9   16   11   14    1    8    3    6    5    4    7    2
Perm #:    25 Perm:   16   15   14   13   12   11   10    9    8    7    6    5    4    3    2    1
Perm #:    26 Perm:   15   14   13   16   11   10    9   12    7    6    5    8    3    2    1    4
Perm #:    27 Perm:   14   13   16   15   10    9   12   11    6    5    8    7    2    1    4    3
Perm #:    28 Perm:   13   16   15   14    9   12   11   10    5    8    7    6    1    4    3    2
Perm #:    29 Perm:   12   11   10    9   16   15   14   13    4    3    2    1    8    7    6    5
Perm #:    30 Perm:   11   10    9   12   15   14   13   16    3    2    1    4    7    6    5    8
Perm #:    31 Perm:   10    9   12   11   14   13   16   15    2    1    4    3    6    5    8    7
Perm #:    32 Perm:    9   12   11   10   13   16   15   14    1    4    3    2    5    8    7    6
