The integer vectors in the final columns of each
permutation listing describe how a list 1, 2, ...
gets permuted. So "2 1" implies that element 2 is
mapped to position 1, and the first one ends up in 
second position.
Number of permutations:  144
Perm #:     1 Perm:    1    2    3    4    5    6    7    8    9   10   11   12
Perm #:     2 Perm:    6    1    2    3    4    5   12    7    8    9   10   11
Perm #:     3 Perm:    5    6    1    2    3    4   11   12    7    8    9   10
Perm #:     4 Perm:    4    5    6    1    2    3   10   11   12    7    8    9
Perm #:     5 Perm:    3    4    5    6    1    2    9   10   11   12    7    8
Perm #:     6 Perm:    2    3    4    5    6    1    8    9   10   11   12    7
Perm #:     7 Perm:    7    8    9   10   11   12    1    2    3    4    5    6
Perm #:     8 Perm:   12    7    8    9   10   11    6    1    2    3    4    5
Perm #:     9 Perm:   11   12    7    8    9   10    5    6    1    2    3    4
Perm #:    10 Perm:   10   11   12    7    8    9    4    5    6    1    2    3
Perm #:    11 Perm:    9   10   11   12    7    8    3    4    5    6    1    2
Perm #:    12 Perm:    8    9   10   11   12    7    2    3    4    5    6    1
Perm #:    13 Perm:    1    2    3    4    5    6   10   11   12    7    8    9
Perm #:    14 Perm:    6    1    2    3    4    5    9   10   11   12    7    8
Perm #:    15 Perm:    5    6    1    2    3    4    8    9   10   11   12    7
Perm #:    16 Perm:    4    5    6    1    2    3    7    8    9   10   11   12
Perm #:    17 Perm:    3    4    5    6    1    2   12    7    8    9   10   11
Perm #:    18 Perm:    2    3    4    5    6    1   11   12    7    8    9   10
Perm #:    19 Perm:    7    8    9   10   11   12    4    5    6    1    2    3
Perm #:    20 Perm:   12    7    8    9   10   11    3    4    5    6    1    2
Perm #:    21 Perm:   11   12    7    8    9   10    2    3    4    5    6    1
Perm #:    22 Perm:   10   11   12    7    8    9    1    2    3    4    5    6
Perm #:    23 Perm:    9   10   11   12    7    8    6    1    2    3    4    5
Perm #:    24 Perm:    8    9   10   11   12    7    5    6    1    2    3    4
Perm #:    25 Perm:    1    6    5    4    3    2    7   12   11   10    9    8
Perm #:    26 Perm:    6    5    4    3    2    1   12   11   10    9    8    7
Perm #:    27 Perm:    5    4    3    2    1    6   11   10    9    8    7   12
Perm #:    28 Perm:    4    3    2    1    6    5   10    9    8    7   12   11
Perm #:    29 Perm:    3    2    1    6    5    4    9    8    7   12   11   10
Perm #:    30 Perm:    2    1    6    5    4    3    8    7   12   11   10    9
Perm #:    31 Perm:    7   12   11   10    9    8    1    6    5    4    3    2
Perm #:    32 Perm:   12   11   10    9    8    7    6    5    4    3    2    1
Perm #:    33 Perm:   11   10    9    8    7   12    5    4    3    2    1    6
Perm #:    34 Perm:   10    9    8    7   12   11    4    3    2    1    6    5
Perm #:    35 Perm:    9    8    7   12   11   10    3    2    1    6    5    4
Perm #:    36 Perm:    8    7   12   11   10    9    2    1    6    5    4    3
Perm #:    37 Perm:    1    6    5    4    3    2   10    9    8    7   12   11
Perm #:    38 Perm:    6    5    4    3    2    1    9    8    7   12   11   10
Perm #:    39 Perm:    5    4    3    2    1    6    8    7   12   11   10    9
Perm #:    40 Perm:    4    3    2    1    6    5    7   12   11   10    9    8
Perm #:    41 Perm:    3    2    1    6    5    4   12   11   10    9    8    7
Perm #:    42 Perm:    2    1    6    5    4    3   11   10    9    8    7   12
Perm #:    43 Perm:    7   12   11   10    9    8    4    3    2    1    6    5
Perm #:    44 Perm:   12   11   10    9    8    7    3    2    1    6    5    4
Perm #:    45 Perm:   11   10    9    8    7   12    2    1    6    5    4    3
Perm #:    46 Perm:   10    9    8    7   12   11    1    6    5    4    3    2
Perm #:    47 Perm:    9    8    7   12   11   10    6    5    4    3    2    1
Perm #:    48 Perm:    8    7   12   11   10    9    5    4    3    2    1    6
Perm #:    49 Perm:    1    8    3   10    5   12    4   11    6    7    2    9
Perm #:    50 Perm:    6    7    2    9    4   11    3   10    5   12    1    8
Perm #:    51 Perm:    5   12    1    8    3   10    2    9    4   11    6    7
Perm #:    52 Perm:    4   11    6    7    2    9    1    8    3   10    5   12
Perm #:    53 Perm:    3   10    5   12    1    8    6    7    2    9    4   11
Perm #:    54 Perm:    2    9    4   11    6    7    5   12    1    8    3   10
Perm #:    55 Perm:    7    2    9    4   11    6   10    5   12    1    8    3
Perm #:    56 Perm:   12    1    8    3   10    5    9    4   11    6    7    2
Perm #:    57 Perm:   11    6    7    2    9    4    8    3   10    5   12    1
Perm #:    58 Perm:   10    5   12    1    8    3    7    2    9    4   11    6
Perm #:    59 Perm:    9    4   11    6    7    2   12    1    8    3   10    5
Perm #:    60 Perm:    8    3   10    5   12    1   11    6    7    2    9    4
Perm #:    61 Perm:    1    8    3   10    5   12    7    2    9    4   11    6
Perm #:    62 Perm:    6    7    2    9    4   11   12    1    8    3   10    5
Perm #:    63 Perm:    5   12    1    8    3   10   11    6    7    2    9    4
Perm #:    64 Perm:    4   11    6    7    2    9   10    5   12    1    8    3
Perm #:    65 Perm:    3   10    5   12    1    8    9    4   11    6    7    2
Perm #:    66 Perm:    2    9    4   11    6    7    8    3   10    5   12    1
Perm #:    67 Perm:    7    2    9    4   11    6    1    8    3   10    5   12
Perm #:    68 Perm:   12    1    8    3   10    5    6    7    2    9    4   11
Perm #:    69 Perm:   11    6    7    2    9    4    5   12    1    8    3   10
Perm #:    70 Perm:   10    5   12    1    8    3    4   11    6    7    2    9
Perm #:    71 Perm:    9    4   11    6    7    2    3   10    5   12    1    8
Perm #:    72 Perm:    8    3   10    5   12    1    2    9    4   11    6    7
Perm #:    73 Perm:    1    9    5    7    3   11    4   12    2   10    6    8
Perm #:    74 Perm:    6    8    4   12    2   10    3   11    1    9    5    7
Perm #:    75 Perm:    5    7    3   11    1    9    2   10    6    8    4   12
Perm #:    76 Perm:    4   12    2   10    6    8    1    9    5    7    3   11
Perm #:    77 Perm:    3   11    1    9    5    7    6    8    4   12    2   10
Perm #:    78 Perm:    2   10    6    8    4   12    5    7    3   11    1    9
Perm #:    79 Perm:    7    3   11    1    9    5   10    6    8    4   12    2
Perm #:    80 Perm:   12    2   10    6    8    4    9    5    7    3   11    1
Perm #:    81 Perm:   11    1    9    5    7    3    8    4   12    2   10    6
Perm #:    82 Perm:   10    6    8    4   12    2    7    3   11    1    9    5
Perm #:    83 Perm:    9    5    7    3   11    1   12    2   10    6    8    4
Perm #:    84 Perm:    8    4   12    2   10    6   11    1    9    5    7    3
Perm #:    85 Perm:    1    9    5    7    3   11   10    6    8    4   12    2
Perm #:    86 Perm:    6    8    4   12    2   10    9    5    7    3   11    1
Perm #:    87 Perm:    5    7    3   11    1    9    8    4   12    2   10    6
Perm #:    88 Perm:    4   12    2   10    6    8    7    3   11    1    9    5
Perm #:    89 Perm:    3   11    1    9    5    7   12    2   10    6    8    4
Perm #:    90 Perm:    2   10    6    8    4   12   11    1    9    5    7    3
